ticker,date,open,high,low,close
AA,1962-01-02,0.0,6.58,6.55,6.55
AA,1962-01-03,6.55,6.65,6.53,6.65
AA,1962-01-04,6.65,6.7,6.65,6.65
AA,1962-01-05,6.65,6.68,6.62,6.63
AA,1962-01-08,6.61,6.61,6.36,6.41
AA,1962-01-09,6.41,6.51,6.38,6.38
AA,1962-01-10,6.38,6.41,6.36,6.4
AA,1962-01-11,6.37,6.37,6.33,6.36
AA,1962-01-12,6.36,6.37,6.21,6.21
AA,1962-01-15,6.16,6.16,6.08,6.08
AA,1962-01-16,6.06,6.06,6.01,6.01
AA,1962-01-17,6.01,6.03,6.01,6.01
AA,1962-01-18,6.01,6.01,6.01,6.01
AA,1962-01-19,6.01,6.07,6.01,6.03
AA,1962-01-22,6.06,6.15,6.06,6.06
AA,1962-01-23,6.06,6.12,6.02,6.02
AA,1962-01-24,6.02,6.02,5.86,5.98
AA,1962-01-25,5.98,5.99,5.92,5.92
AA,1962-01-26,5.92,5.94,5.92,5.94
AA,1962-01-29,5.94,5.98,5.92,5.93
AA,1962-01-30,5.94,5.99,5.94,5.99
AA,1962-01-31,5.99,6.01,5.97,5.98
AA,1962-02-01,5.97,5.97,5.88,5.94
AA,1962-02-02,5.94,5.98,5.91,5.92
AA,1962-02-05,5.96,5.99,5.96,5.96
AA,1962-02-06,5.92,5.92,5.83,5.88
AA,1962-02-07,5.89,5.96,5.89,5.92
AA,1962-02-08,5.92,5.94,5.86,5.89
AA,1962-02-09,5.89,5.93,5.83,5.83
AA,1962-02-12,5.83,5.84,5.82,5.82
AA,1962-02-13,5.88,5.92,5.88,5.89
AA,1962-02-14,5.86,5.86,5.77,5.81
AA,1962-02-15,5.81,5.91,5.76,5.76
AA,1962-02-16,5.76,5.84,5.76,5.84
AA,1962-02-19,5.86,5.91,5.86,5.89
AA,1962-02-20,5.89,5.99,5.87,5.99
AA,1962-02-21,6.01,6.15,6.01,6.05
AA,1962-02-23,6.05,6.1,6.03,6.08
AA,1962-02-26,6.08,6.11,5.98,6.11
AA,1962-02-27,6.11,6.13,6.11,6.11
AA,1962-02-28,6.11,6.23,6.06,6.06
AA,1962-03-01,6.06,6.31,6.03,6.28
AA,1962-03-02,6.28,6.38,6.28,6.35
AA,1962-03-05,6.35,6.45,6.35,6.43
AA,1962-03-06,6.45,6.51,6.45,6.5
AA,1962-03-07,6.5,6.53,6.47,6.47
AA,1962-03-08,6.47,6.5,6.43,6.47
AA,1962-03-09,6.47,6.51,6.47,6.5
AA,1962-03-12,6.53,6.67,6.53,6.65
AA,1962-03-13,6.65,6.67,6.6,6.66
AA,1962-03-14,6.66,6.68,6.66,6.67
AA,1962-03-15,6.67,6.73,6.67,6.67
AA,1962-03-16,6.7,6.73,6.7,6.71
AA,1962-03-19,6.68,6.68,6.47,6.51
AA,1962-03-20,6.51,6.56,6.51,6.53
AA,1962-03-21,6.53,6.66,6.53,6.63
AA,1962-03-22,6.66,6.8,6.66,6.8
AA,1962-03-23,6.8,6.86,6.75,6.76
AA,1962-03-26,6.76,6.78,6.76,6.76
AA,1962-03-27,6.76,6.76,6.63,6.63
AA,1962-03-28,6.63,6.66,6.6,6.61
AA,1962-03-29,6.57,6.57,6.48,6.48
AA,1962-03-30,6.47,6.47,6.32,6.4
AA,1962-04-02,6.4,6.41,6.36,6.37
AA,1962-04-03,6.37,6.53,6.36,6.53
AA,1962-04-04,6.55,6.6,6.55,6.55
AA,1962-04-05,6.55,6.55,6.41,6.48
AA,1962-04-06,6.5,6.57,6.5,6.5
AA,1962-04-09,6.46,6.46,6.41,6.46
AA,1962-04-10,6.46,6.48,6.38,6.41
AA,1962-04-11,6.41,6.46,6.32,6.32
AA,1962-04-12,6.32,6.36,6.31,6.35
AA,1962-04-13,6.35,6.38,6.31,6.35
AA,1962-04-16,6.35,6.37,6.31,6.37
AA,1962-04-17,6.37,6.42,6.36,6.42
AA,1962-04-18,6.42,6.47,6.36,6.38
AA,1962-04-19,6.38,6.47,6.36,6.37
AA,1962-04-23,6.38,6.46,6.38,6.43
AA,1962-04-24,6.46,6.51,6.46,6.46
AA,1962-04-25,6.46,6.46,6.26,6.26
AA,1962-04-26,6.26,6.26,6.17,6.17
AA,1962-04-27,6.17,6.28,6.17,6.18
AA,1962-04-30,6.18,6.2,6.13,6.15
AA,1962-05-01,6.15,6.15,6.1,6.15
AA,1962-05-02,6.15,6.16,5.98,6.01
AA,1962-05-03,6.05,6.11,6.05,6.11
AA,1962-05-04,6.1,6.1,5.96,5.98
AA,1962-05-07,5.96,5.96,5.78,5.82
AA,1962-05-08,5.82,5.83,5.74,5.74
AA,1962-05-09,5.71,5.71,5.63,5.69
AA,1962-05-10,5.69,5.76,5.61,5.63
AA,1962-05-11,5.63,5.68,5.59,5.61
AA,1962-05-14,5.61,5.66,5.48,5.66
AA,1962-05-15,5.66,5.73,5.66,5.68
AA,1962-05-16,5.68,5.68,5.48,5.53
AA,1962-05-17,5.53,5.54,5.44,5.46
AA,1962-05-18,5.46,5.47,5.43,5.43
AA,1962-05-21,5.43,5.48,5.43,5.43
AA,1962-05-22,5.43,5.47,5.43,5.46
AA,1962-05-23,5.44,5.44,5.41,5.42
AA,1962-05-24,5.42,5.47,5.31,5.31
AA,1962-05-25,5.31,5.32,5.23,5.26
AA,1962-05-28,5.26,5.41,5.21,5.21
AA,1962-05-29,5.21,5.46,4.92,5.46
AA,1962-05-31,5.46,5.51,5.31,5.49
AA,1962-06-01,5.49,5.49,5.46,5.49
AA,1962-06-04,5.49,5.56,5.47,5.48
AA,1962-06-05,5.48,5.61,5.47,5.52
AA,1962-06-06,5.56,5.61,5.56,5.59
AA,1962-06-07,5.57,5.57,5.47,5.48
AA,1962-06-08,5.48,5.57,5.47,5.56
AA,1962-06-11,5.56,5.58,5.49,5.49
AA,1962-06-12,5.48,5.48,5.33,5.33
AA,1962-06-13,5.33,5.36,5.23,5.23
AA,1962-06-14,5.23,5.28,5.08,5.08
AA,1962-06-15,5.08,5.26,5.03,5.21
AA,1962-06-18,5.21,5.28,5.13,5.28
AA,1962-06-19,5.27,5.27,5.17,5.21
AA,1962-06-20,5.21,5.23,5.11,5.11
AA,1962-06-21,5.06,5.06,4.96,4.97
AA,1962-06-22,4.91,4.91,4.73,4.74
AA,1962-06-25,4.74,4.74,4.51,4.58
AA,1962-06-26,4.68,4.86,4.68,4.76
AA,1962-06-27,4.71,4.71,4.67,4.71
AA,1962-06-28,4.76,5.01,4.76,5.01
AA,1962-06-29,5.06,5.23,5.06,5.21
AA,1962-07-02,5.26,5.56,5.26,5.43
AA,1962-07-03,5.43,5.61,5.43,5.58
AA,1962-07-05,5.58,5.81,5.57,5.81
AA,1962-07-06,5.76,5.76,5.66,5.67
AA,1962-07-09,5.67,5.71,5.56,5.71
AA,1962-07-10,5.71,5.91,5.61,5.62
AA,1962-07-11,5.62,5.73,5.56,5.71
AA,1962-07-12,5.71,5.76,5.66,5.69
AA,1962-07-13,5.69,5.71,5.66,5.68
AA,1962-07-16,5.64,5.64,5.57,5.59
AA,1962-07-17,5.59,5.59,5.41,5.41
AA,1962-07-18,5.41,5.56,5.31,5.52
AA,1962-07-19,5.52,5.61,5.46,5.46
AA,1962-07-20,5.46,5.61,5.43,5.49
AA,1962-07-23,5.49,5.49,5.43,5.43
AA,1962-07-24,5.43,5.47,5.38,5.38
AA,1962-07-25,5.36,5.36,5.21,5.33
AA,1962-07-26,5.37,5.48,5.37,5.38
AA,1962-07-27,5.39,5.61,5.39,5.61
AA,1962-07-30,5.61,5.78,5.61,5.69
AA,1962-07-31,5.74,5.86,5.74,5.83
AA,1962-08-01,5.86,5.97,5.86,5.91
AA,1962-08-02,5.91,5.96,5.91,5.92
AA,1962-08-03,5.92,5.98,5.88,5.94
AA,1962-08-06,5.94,5.99,5.84,5.88
AA,1962-08-07,5.88,5.88,5.72,5.72
AA,1962-08-08,5.72,5.86,5.67,5.83
AA,1962-08-09,5.91,5.96,5.91,5.94
AA,1962-08-10,5.94,6.11,5.94,6.07
AA,1962-08-13,6.07,6.08,6.03,6.07
AA,1962-08-14,6.07,6.27,5.98,6.21
AA,1962-08-15,6.3,6.37,6.3,6.34
AA,1962-08-16,6.35,6.41,6.35,6.4
AA,1962-08-17,6.38,6.38,6.35,6.35
AA,1962-08-20,6.35,6.38,6.33,6.36
AA,1962-08-21,6.33,6.33,6.18,6.18
AA,1962-08-22,6.18,6.21,6.07,6.08
AA,1962-08-23,6.08,6.14,6.08,6.08
AA,1962-08-24,6.08,6.08,5.96,5.96
AA,1962-08-27,5.96,6.06,5.93,6.06
AA,1962-08-28,6.06,6.08,6.01,6.01
AA,1962-08-29,5.96,5.96,5.88,5.96
AA,1962-08-30,5.96,5.96,5.82,5.82
AA,1962-08-31,5.82,5.91,5.78,5.89
AA,1962-09-04,5.91,5.98,5.91,5.91
AA,1962-09-05,5.94,6.06,5.94,5.97
AA,1962-09-06,5.97,6.02,5.94,5.98
AA,1962-09-07,5.98,6.11,5.91,5.96
AA,1962-09-10,5.96,5.98,5.91,5.96
AA,1962-09-11,5.96,6.06,5.96,5.98
AA,1962-09-12,5.98,6.01,5.96,5.99
AA,1962-09-13,5.99,6.03,5.94,5.96
AA,1962-09-14,5.96,5.99,5.96,5.98
AA,1962-09-17,5.98,6.03,5.93,5.93
AA,1962-09-18,5.93,5.96,5.78,5.78
AA,1962-09-19,5.78,5.83,5.76,5.79
AA,1962-09-20,5.79,5.81,5.66,5.66
AA,1962-09-21,5.61,5.61,5.47,5.48
AA,1962-09-24,5.41,5.41,5.18,5.28
AA,1962-09-25,5.34,5.56,5.34,5.52
AA,1962-09-26,5.52,5.53,5.36,5.39
AA,1962-09-27,5.33,5.33,5.27,5.28
AA,1962-09-28,5.28,5.36,5.22,5.22
AA,1962-10-01,5.22,5.23,5.11,5.12
AA,1962-10-02,5.12,5.24,5.08,5.22
AA,1962-10-03,5.22,5.24,5.18,5.18
AA,1962-10-04,5.18,5.18,5.12,5.16
AA,1962-10-05,5.16,5.33,5.13,5.33
AA,1962-10-08,5.33,5.38,5.29,5.29
AA,1962-10-09,5.29,5.36,5.27,5.36
AA,1962-10-10,5.41,5.49,5.41,5.41
AA,1962-10-11,5.36,5.36,5.26,5.31
AA,1962-10-12,5.31,5.36,5.31,5.36
AA,1962-10-15,5.36,5.36,5.31,5.33
AA,1962-10-16,5.33,5.41,5.32,5.32
AA,1962-10-17,5.26,5.26,5.18,5.23
AA,1962-10-18,5.21,5.21,5.12,5.14
AA,1962-10-19,5.14,5.17,5.06,5.06
AA,1962-10-22,5.06,5.06,4.96,4.96
AA,1962-10-23,4.98,5.18,4.98,4.98
AA,1962-10-24,4.98,5.23,4.96,5.21
AA,1962-10-25,5.21,5.38,5.11,5.36
AA,1962-10-26,5.33,5.33,5.22,5.26
AA,1962-10-29,5.28,5.43,5.28,5.28
AA,1962-10-30,5.28,5.33,5.18,5.27
AA,1962-10-31,5.28,5.37,5.28,5.34
AA,1962-11-01,5.34,5.41,5.23,5.39
AA,1962-11-02,5.39,5.42,5.23,5.38
AA,1962-11-05,5.38,5.44,5.37,5.43
AA,1962-11-07,5.41,5.41,5.31,5.33
AA,1962-11-08,5.33,5.33,5.13,5.16
AA,1962-11-09,5.16,5.32,5.16,5.32
AA,1962-11-12,5.37,5.41,5.37,5.37
AA,1962-11-13,5.37,5.39,5.31,5.33
AA,1962-11-14,5.33,5.68,5.28,5.59
AA,1962-11-15,5.59,5.68,5.51,5.51
AA,1962-11-16,5.51,5.51,5.46,5.48
AA,1962-11-19,5.48,5.48,5.38,5.41
AA,1962-11-20,5.41,5.41,5.27,5.29
AA,1962-11-21,5.41,5.41,5.31,5.33
AA,1962-11-23,5.33,5.51,5.33,5.51
AA,1962-11-26,5.51,5.58,5.42,5.42
AA,1962-11-27,5.46,5.66,5.46,5.66
AA,1962-11-28,5.68,5.82,5.68,5.81
AA,1962-11-29,5.81,5.83,5.66,5.69
AA,1962-11-30,5.69,5.71,5.51,5.53
AA,1962-12-03,5.51,5.51,5.36,5.41
AA,1962-12-04,5.42,5.58,5.42,5.52
AA,1962-12-05,5.53,5.63,5.53,5.61
AA,1962-12-06,5.54,5.54,5.41,5.48
AA,1962-12-07,5.43,5.43,5.38,5.43
AA,1962-12-10,5.43,5.56,5.38,5.38
AA,1962-12-11,5.38,5.44,5.34,5.41
AA,1962-12-12,5.41,5.51,5.37,5.38
AA,1962-12-13,5.38,5.49,5.34,5.34
AA,1962-12-14,5.34,5.34,5.29,5.32
AA,1962-12-17,5.32,5.37,5.22,5.22
AA,1962-12-18,5.22,5.27,5.13,5.13
AA,1962-12-19,5.13,5.36,5.13,5.31
AA,1962-12-20,5.31,5.39,5.26,5.3
AA,1962-12-21,5.3,5.32,5.22,5.22
AA,1962-12-24,5.23,5.43,5.23,5.41
AA,1962-12-26,5.41,5.48,5.38,5.39
AA,1962-12-27,5.43,5.53,5.43,5.43
AA,1962-12-28,5.44,5.51,5.44,5.48
AA,1962-12-31,5.48,5.48,5.42,5.47
AA,1963-01-02,5.47,5.49,5.39,5.39
AA,1963-01-03,5.41,5.56,5.41,5.47
AA,1963-01-04,5.54,5.67,5.54,5.67
AA,1963-01-07,5.67,5.74,5.67,5.67
AA,1963-01-08,5.73,5.86,5.73,5.77
AA,1963-01-09,5.87,6.03,5.87,5.87
AA,1963-01-10,5.93,6.01,5.93,5.93
AA,1963-01-11,5.93,5.99,5.92,5.96
AA,1963-01-14,5.96,6.06,5.96,5.97
AA,1963-01-15,5.97,6.06,5.96,5.96
AA,1963-01-16,5.93,5.93,5.81,5.81
AA,1963-01-17,5.81,5.93,5.78,5.93
AA,1963-01-18,5.97,6.06,5.97,6.06
AA,1963-01-21,5.99,5.99,5.93,5.99
AA,1963-01-22,5.99,5.99,5.91,5.96
AA,1963-01-23,5.96,5.96,5.91,5.91
AA,1963-01-24,5.89,5.89,5.87,5.87
AA,1963-01-25,5.87,5.91,5.81,5.86
AA,1963-01-28,5.71,5.71,5.71,5.71
AA,1963-01-29,5.71,5.73,5.68,5.71
AA,1963-01-30,5.73,5.81,5.73,5.77
AA,1963-01-31,5.77,5.82,5.77,5.79
AA,1963-02-01,5.79,5.79,5.72,5.79
AA,1963-02-04,5.79,5.79,5.66,5.69
AA,1963-02-05,5.67,5.67,5.61,5.67
AA,1963-02-06,5.67,5.72,5.66,5.68
AA,1963-02-07,5.68,5.71,5.63,5.63
AA,1963-02-08,5.63,5.64,5.57,5.59
AA,1963-02-11,5.57,5.57,5.51,5.51
AA,1963-02-12,5.51,5.51,5.48,5.48
AA,1963-02-13,5.48,5.58,5.46,5.58
AA,1963-02-14,5.58,5.71,5.57,5.67
AA,1963-02-15,5.67,5.77,5.64,5.71
AA,1963-02-18,5.73,5.83,5.73,5.77
AA,1963-02-19,5.77,5.79,5.73,5.76
AA,1963-02-20,5.74,5.74,5.68,5.69
AA,1963-02-21,5.69,5.69,5.59,5.62
AA,1963-02-25,5.62,5.64,5.58,5.61
AA,1963-02-26,5.61,5.63,5.58,5.61
AA,1963-02-27,5.61,5.63,5.52,5.52
AA,1963-02-28,5.52,5.57,5.46,5.47
AA,1963-03-01,5.47,5.53,5.39,5.39
AA,1963-03-04,5.39,5.46,5.33,5.43
AA,1963-03-05,5.42,5.42,5.31,5.31
AA,1963-03-06,5.31,5.33,5.26,5.31
AA,1963-03-07,5.36,5.43,5.36,5.42
AA,1963-03-08,5.42,5.48,5.42,5.48
AA,1963-03-11,5.48,5.51,5.46,5.47
AA,1963-03-12,5.47,5.51,5.47,5.47
AA,1963-03-13,5.38,5.38,5.31,5.36
AA,1963-03-14,5.36,5.41,5.36,5.36
AA,1963-03-15,5.36,5.38,5.36,5.38
AA,1963-03-18,5.37,5.37,5.31,5.31
AA,1963-03-19,5.29,5.29,5.26,5.27
AA,1963-03-20,5.27,5.27,5.21,5.26
AA,1963-03-21,5.26,5.28,5.18,5.18
AA,1963-03-22,5.18,5.26,5.13,5.17
AA,1963-03-25,5.17,5.22,5.16,5.18
AA,1963-03-26,5.21,5.27,5.21,5.22
AA,1963-03-27,5.22,5.34,5.22,5.34
AA,1963-03-28,5.34,5.38,5.31,5.31
AA,1963-03-29,5.31,5.33,5.28,5.28
AA,1963-04-01,5.28,5.34,5.23,5.24
AA,1963-04-02,5.24,5.29,5.21,5.21
AA,1963-04-03,5.23,5.34,5.23,5.32
AA,1963-04-04,5.32,5.46,5.31,5.43
AA,1963-04-05,5.43,5.44,5.38,5.44
AA,1963-04-08,5.46,5.51,5.46,5.49
AA,1963-04-09,5.49,5.59,5.44,5.52
AA,1963-04-10,5.52,5.58,5.38,5.47
AA,1963-04-11,5.47,5.56,5.43,5.52
AA,1963-04-15,5.52,5.61,5.48,5.53
AA,1963-04-16,5.53,5.68,5.53,5.63
AA,1963-04-17,5.63,5.74,5.61,5.66
AA,1963-04-18,5.66,5.68,5.38,5.38
AA,1963-04-19,5.38,5.52,5.38,5.52
AA,1963-04-22,5.52,5.56,5.48,5.49
AA,1963-04-23,5.51,5.61,5.51,5.59
AA,1963-04-24,5.68,5.73,5.68,5.68
AA,1963-04-25,5.71,5.83,5.71,5.83
AA,1963-04-26,5.83,5.92,5.83,5.83
AA,1963-04-29,5.83,5.91,5.77,5.82
AA,1963-04-30,5.82,5.84,5.78,5.79
AA,1963-05-01,5.81,5.84,5.81,5.83
AA,1963-05-02,5.83,5.86,5.82,5.84
AA,1963-05-03,5.87,5.94,5.87,5.92
AA,1963-05-06,5.92,5.97,5.89,5.91
AA,1963-05-07,5.94,6.05,5.94,5.97
AA,1963-05-08,6.03,6.1,6.03,6.1
AA,1963-05-09,6.11,6.26,6.11,6.22
AA,1963-05-10,6.22,6.28,6.18,6.25
AA,1963-05-13,6.28,6.36,6.28,6.36
AA,1963-05-14,6.36,6.4,6.33,6.33
AA,1963-05-15,6.35,6.41,6.35,6.4
AA,1963-05-16,6.4,6.5,6.4,6.4
AA,1963-05-17,6.42,6.48,6.42,6.48
AA,1963-05-20,6.47,6.47,6.37,6.37
AA,1963-05-21,6.3,6.3,6.22,6.3
AA,1963-05-22,6.32,6.38,6.32,6.32
AA,1963-05-23,6.32,6.38,6.28,6.28
AA,1963-05-24,6.28,6.35,6.28,6.28
AA,1963-05-27,6.28,6.28,6.17,6.2
AA,1963-05-28,6.21,6.25,6.21,6.23
AA,1963-05-29,6.26,6.36,6.26,6.31
AA,1963-05-31,6.35,6.38,6.35,6.37
AA,1963-06-03,6.38,6.45,6.38,6.42
AA,1963-06-04,6.42,6.6,6.41,6.58
AA,1963-06-05,6.61,6.75,6.61,6.66
AA,1963-06-06,6.66,6.71,6.63,6.67
AA,1963-06-07,6.67,6.7,6.42,6.43
AA,1963-06-10,6.36,6.36,6.26,6.35
AA,1963-06-11,6.35,6.45,6.33,6.38
AA,1963-06-12,6.41,6.71,6.41,6.61
AA,1963-06-13,6.61,6.73,6.61,6.63
AA,1963-06-14,6.63,6.65,6.53,6.56
AA,1963-06-17,6.56,6.58,6.52,6.53
AA,1963-06-18,6.53,6.68,6.53,6.68
AA,1963-06-19,6.68,6.73,6.67,6.71
AA,1963-06-20,6.71,6.78,6.58,6.71
AA,1963-06-21,6.71,6.9,6.71,6.9
AA,1963-06-24,6.88,6.88,6.75,6.76
AA,1963-06-25,6.76,6.81,6.7,6.7
AA,1963-06-26,6.68,6.68,6.48,6.51
AA,1963-06-27,6.51,6.56,6.41,6.45
AA,1963-06-28,6.45,6.46,6.36,6.42
AA,1963-07-01,6.42,6.46,6.31,6.31
AA,1963-07-02,6.31,6.48,6.31,6.47
AA,1963-07-03,6.53,6.63,6.53,6.63
AA,1963-07-05,6.75,6.81,6.75,6.77
AA,1963-07-08,6.77,6.78,6.68,6.71
AA,1963-07-09,6.71,6.81,6.66,6.81
AA,1963-07-10,6.8,6.8,6.73,6.8
AA,1963-07-11,6.8,6.91,6.75,6.76
AA,1963-07-12,6.76,6.8,6.7,6.7
AA,1963-07-15,6.66,6.66,6.51,6.56
AA,1963-07-16,6.53,6.53,6.47,6.47
AA,1963-07-17,6.48,6.58,6.48,6.48
AA,1963-07-18,6.48,6.6,6.47,6.52
AA,1963-07-19,6.5,6.5,6.17,6.2
AA,1963-07-22,6.18,6.18,5.88,6.05
AA,1963-07-23,6.05,6.17,6.05,6.06
AA,1963-07-24,6.1,6.27,6.1,6.27
AA,1963-07-25,6.27,6.35,6.15,6.15
AA,1963-07-26,6.15,6.21,6.13,6.13
AA,1963-07-29,6.15,6.21,6.15,6.18
AA,1963-07-30,6.21,6.38,6.21,6.37
AA,1963-07-31,6.37,6.41,6.33,6.36
AA,1963-08-01,6.36,6.43,6.23,6.23
AA,1963-08-02,6.23,6.33,6.18,6.21
AA,1963-08-05,6.21,6.26,6.2,6.2
AA,1963-08-06,6.23,6.41,6.23,6.41
AA,1963-08-07,6.41,6.5,6.38,6.41
AA,1963-08-08,6.41,6.42,6.26,6.31
AA,1963-08-09,6.31,6.45,6.26,6.45
AA,1963-08-12,6.45,6.45,6.4,6.42
AA,1963-08-13,6.42,6.51,6.37,6.51
AA,1963-08-14,6.47,6.47,6.33,6.38
AA,1963-08-15,6.41,6.5,6.41,6.46
AA,1963-08-16,6.46,6.51,6.42,6.46
AA,1963-08-19,6.46,6.5,6.43,6.46
AA,1963-08-20,6.46,6.46,6.37,6.41
AA,1963-08-21,6.4,6.4,6.35,6.37
AA,1963-08-22,6.38,6.45,6.38,6.45
AA,1963-08-23,6.47,6.56,6.47,6.53
AA,1963-08-26,6.53,6.56,6.47,6.47
AA,1963-08-27,6.43,6.43,6.33,6.33
AA,1963-08-28,6.37,6.42,6.37,6.37
AA,1963-08-29,6.37,6.41,6.36,6.36
AA,1963-08-30,6.36,6.41,6.33,6.41
AA,1963-09-03,6.41,6.41,6.37,6.41
AA,1963-09-04,6.42,6.51,6.42,6.46
AA,1963-09-05,6.46,6.46,6.33,6.33
AA,1963-09-06,6.28,6.28,6.18,6.25
AA,1963-09-09,6.25,6.31,6.18,6.18
AA,1963-09-10,6.18,6.21,6.12,6.16
AA,1963-09-11,6.2,6.3,6.2,6.3
AA,1963-09-12,6.33,6.51,6.33,6.42
AA,1963-09-13,6.42,6.46,6.4,6.4
AA,1963-09-16,6.4,6.43,6.4,6.41
AA,1963-09-17,6.42,6.46,6.42,6.43
AA,1963-09-18,6.43,6.47,6.42,6.42
AA,1963-09-19,6.43,6.52,6.43,6.51
AA,1963-09-20,6.51,6.53,6.46,6.46
AA,1963-09-23,6.41,6.41,6.23,6.23
AA,1963-09-24,6.26,6.51,6.26,6.51
AA,1963-09-25,6.51,6.7,6.46,6.57
AA,1963-09-26,6.57,6.63,6.47,6.53
AA,1963-09-27,6.55,6.63,6.55,6.58
AA,1963-09-30,6.58,6.61,6.56,6.6
AA,1963-10-01,6.6,6.65,6.56,6.6
AA,1963-10-02,6.6,6.65,6.6,6.61
AA,1963-10-03,6.61,6.65,6.58,6.65
AA,1963-10-04,6.66,6.75,6.66,6.71
AA,1963-10-07,6.71,6.77,6.71,6.77
AA,1963-10-08,6.77,6.8,6.75,6.77
AA,1963-10-09,6.75,6.75,6.62,6.62
AA,1963-10-10,6.62,6.68,6.57,6.66
AA,1963-10-11,6.66,6.7,6.65,6.65
AA,1963-10-14,6.65,6.73,6.58,6.71
AA,1963-10-15,6.71,6.76,6.7,6.72
AA,1963-10-16,6.73,6.83,6.73,6.83
AA,1963-10-17,6.88,7.05,6.88,6.95
